gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YPR170W-B,48.9745,-1.462331,0.27627173,4.803123e-8,2.834066e-7
YPR172W,17.90252,-1.60275,0.50905729,4.350247e-4,0.001245199
YPR181C,62.87232,-1.378892,0.32191339,7.91752e-6,3.136841e-5
YPR184W,887.4139,-2.433639,0.45871497,4.152788e-9,2.989913e-8
YPR191W,31.01317,-1.796435,0.39821895,1.384009e-6,6.32021e-6
YPR192W,78.45591,-4.093462,0.70054593,4.230139e-12,5.140186e-11
YPR193C,53.19209,-1.984938,0.31604336,5.350194e-11,5.310842e-10
YPR194C,327.4618,-3.496768,0.53015554,3.89848e-14,6.926628e-13
YPR196W,535.9022,-2.633779,0.3097401,3.664795e-19,1.519333e-17
YPR198W,143.3946,-1.824637,0.23192829,8.536369e-16,1.968952e-14
YPR200C,11.6607,-1.657078,0.63923897,0.001914163,0.004733542
