gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YLR419W,192.2712,1.262133,0.18342095,3.096594e-12,3.889444e-11
YLR430W,750.1914,1.814578,0.2021198,6.747588e-20,3.0354580000000002e-18
YLR432W,71.56404,2.035909,0.29961949,1.551631e-12,2.071999e-11
YLR435W,65.10551,1.876802,0.28900812,1.70852e-11,1.878187e-10
YLR441C,175.0322,1.171803,0.3522678,4.655143e-4,0.001319963
YLR442C,273.9375,1.473053,0.16016324,1.5281619999999998e-20,8.356146999999999e-19
YLR448W,142.5707,2.361472,0.37315418,1.295519e-11,1.46479e-10
YLR449W,561.6354,2.506613,0.26211391,3.9634490000000005e-23,3.103723e-21
YLR455W,395.1985,1.184663,0.21703774,2.667073e-8,1.655308e-7
YLR457C,49.83401,1.307257,0.26916311,5.732352e-7,2.818628e-6
YML015C,117.9026,1.118678,0.20614923,3.393846e-8,2.058047e-7
YML018C,107.2621,1.10638,0.41820137,0.004442187,0.01012554
YML032C,33.3561,1.177655,0.32217552,0.00013724280000000001,4.330999e-4
YML056C,106.7389,1.738105,0.51718112,1.607526e-4,5.013046e-4
YML058W-A,3.229496,1.666972,0.8945027,0.007681892,0.01651177
YML060W,38.79004,1.890799,0.36214428,3.296237e-8,2.004605e-7
YML061C,134.4403,1.440135,0.22169823,3.485898e-11,3.624763e-10
YML071C,513.7756,1.209646,0.19435841,2.651411e-10,2.33258e-9
YML073C,640.5093,1.473228,0.27510388,3.368987e-8,2.044927e-7
YML082W,89.63985,1.063488,0.2700467,4.976597e-5,1.696215e-4
YML093W,532.1726,2.245262,0.32404405,3.387679e-13,5.091955e-12
YML102W,38.69082,1.005656,0.32808707,0.001355028,0.003486792
YML104C,220.3321,1.204756,0.22947591,8.243306e-8,4.660186e-7
YML106W,147.7121,1.796257,0.30167409,6.155715e-10,5.110693e-9
YML109W,183.2257,1.943281,0.21337788,1.594176e-20,8.510257999999999e-19
YML111W,135.8322,1.036636,0.18197154,7.772009e-9,5.399546e-8
YML114C,175.7875,1.01744,0.17236802,2.31447e-9,1.745622e-8
YML124C,195.1818,1.234153,0.29601957,1.564138e-5,5.853291e-5
YML125C,27.32668,1.178851,0.50788501,0.009632249,0.02015326
YML130C,576.8699,1.693399,0.24196106,7.579875e-13,1.075596e-11
YML133C,309.9458,1.534275,1.03990172,0.01598541,0.03166629
YMR001C,245.1429,1.243741,0.25388602,4.98183e-7,2.47453e-6
YMR005W,367.5998,1.321049,0.20957518,1.414839e-10,1.306306e-9
YMR014W,693.9857,2.266646,0.28890555,3.345089e-16,8.160731e-15
YMR032W,28.50625,1.205292,0.34631784,2.570922e-4,7.761714e-4
YMR048W,24.23802,2.28567,0.43396602,8.572286e-9,5.903801e-8
YMR049C,212.552,2.326391,0.3107109,4.423254e-15,9.138989e-14
YMR067C,47.69491,1.06595,0.26033811,2.567929e-5,9.260019e-5
YMR076C,317.6682,2.679275,0.33515021,2.0952250000000002e-17,6.298584e-16
YMR093W,40.9387,1.415915,0.35767262,3.025293e-5,1.073235e-4
YMR096W,9.731721,1.727307,0.56376878,4.317092e-4,0.001237384
YMR101C,26.82735,2.017625,0.30437052,5.035897e-12,6.015573e-11
YMR112C,38.76235,1.058697,0.29481818,1.986453e-4,6.107644e-4
YMR117C,35.57867,1.735202,0.3395938,8.205579e-8,4.6429959999999997e-07
YMR124W,378.1021,1.295944,0.18475842,1.164155e-12,1.598319e-11
YMR127C,44.25908,1.394986,0.33349395,1.205306e-5,4.622284e-5
YMR128W,694.3839,2.242766,0.28123443,1.283912e-16,3.393273e-15
YMR131C,84.37837,1.844844,0.33892474,1.088435e-8,7.3135e-8
YMR132C,54.15835,1.401783,0.24735399,6.34235e-9,4.450169e-8
YMR141C,25.79889,1.493375,0.47156901,5.047259e-4,0.001422246
YMR142C,768.5304,1.179347,0.23565884,3.10253e-7,1.594761e-6
YMR144W,36.04196,1.520641,0.35843312,7.721064e-6,3.068591e-5
YMR177W,70.10269,1.523344,0.25960066,1.64262e-9,1.272178e-8
YMR179W,90.73851,1.173222,0.30425485,6.236633e-5,2.08975e-4
YMR183C,465.5162,1.131123,0.19497894,3.859522e-9,2.788263e-8
YMR184W,95.40949,1.808165,0.25400518,2.606935e-13,4.01354e-12
YMR185W,290.549,1.244453,0.20654221,8.888917e-10,7.182471e-9
YMR186W,5427.366,2.243515,0.16698627,3.443589e-42,2.7303359999999997e-39
YMR190C,385.2329,1.0455,0.2075733,2.97092e-7,1.533324e-6
YMR192W,416.3891,1.213077,0.16225548,4.203178e-14,7.385251e-13
YMR198W,62.2175,1.800311,0.34111913,2.955905e-8,1.813279e-7
YMR207C,287.681,1.128244,0.19580928,4.886389e-9,3.502188e-8
YMR214W,128.3488,1.863723,0.25615716,7.412267e-14,1.218031e-12
YMR215W,68.43388,1.476789,0.35729288,1.327227e-5,5.044101e-5
YMR216C,318.6212,1.022011,0.18301851,1.510568e-8,9.857546e-8
YMR217W,93.44082,1.786729,0.32813672,1.213817e-8,8.087437e-8
YMR227C,349.5374,1.094147,0.19566892,1.359413e-8,8.972691e-8
YMR229C,1459.907,2.031588,0.26366381,1.951646e-15,4.254051e-14
YMR230W,173.0579,1.276115,0.50325965,0.004768931,0.01076872
YMR230W-A,50.22855,1.468848,0.42566212,1.981275e-4,0.00060946800000000005
YMR232W,48.35348,1.061445,0.27294131,6.107476e-5,2.051892e-4
YMR236W,26.51781,1.128371,0.47105497,0.008558393,0.01819842
YMR239C,123.0745,1.298888,0.27306766,9.521845e-7,4.507243e-6
YMR240C,106.8034,1.013279,0.19886057,2.245097e-7,1.185733e-6
YMR244W,5.70332,2.046046,0.60118265,6.191429e-5,2.076797e-4
YMR260C,26.13897,1.315758,0.36632578,1.478085e-4,4.648236e-4
YMR265C,21.75047,1.7403,0.33681561,6.011662e-8,3.485555e-7
YMR268C,29.41099,1.092046,0.29502336,1.255043e-4,4.002381e-4
YMR273C,533.9368,1.269494,0.20001198,1.128995e-10,1.056226e-9
YMR277W,326.9431,2.084777,0.28037973,1.348244e-14,2.545212e-13
YMR289W,38.19174,1.322966,0.28283357,1.361621e-6,6.226938e-6
YMR290C,79.29965,2.506516,0.30135239,3.00948e-18,1.03217e-16
YMR295C,513.7445,1.78313,0.19667048,3.180042e-20,1.563644e-18
YMR296C,170.5457,1.907788,0.30585446,8.404941e-11,8.016923e-10
YMR305C,35.32742,1.206261,0.52789347,0.01009719,0.02106793
YMR309C,101.2199,1.151332,0.22887113,2.786923e-7,1.447785e-6
YMR310C,69.65989,1.352862,0.29365155,1.84178e-6,8.192435e-6
YNCD0031C,24.41078,12.74336,10.40168828,4.515675e-5,1.554147e-4
YNCE0011C,2243.171,3.88557,0.78551459,6.706378e-10,5.517322e-9
YNCF0013W,6.003046,1.371947,0.59339322,0.007084833,0.01535327
YNCG0008W,14.88459,1.840786,4.84282639,0.002371297,0.005767307
YNCG0020C,20.76406,1.392882,1.51833751,0.01093454,0.02259947
YNCG0040C,20.2337,1.300213,3.69866935,0.004728424,0.01070054
YNCG0044C,1627.212,2.303587,0.65143446,1.742919e-5,6.466038e-5
YNCG0047C,7.75863,1.652414,0.53163306,4.456679e-4,0.001272219
YNCH0008W,2.992327,1.879342,1.3813973,0.004611729,0.01045842
YNCH0015W,7.814198,2.441479,0.769077,3.708089e-5,1.297367e-4
YNCJ0003C,191.3598,1.139117,0.4061188,0.002671997,0.006419878
